firstName,lastName,email,role,department,major
Brett,Freeman,brett.freeman821@student.edu,Student,,Biology
Nicholas,Scott,nicholas.scott253@student.edu,Student,,Political Science
Cheryl,Walker,cheryl.walker786@student.edu,Student,,Literature
Jeffrey,Chambers,jeffrey.chambers663@student.edu,Student,,Undeclared
Sabrina,Hardin,sabrina.hardin665@student.edu,Student,,Business
Tiffany,Edwards,tiffany.edwards318@student.edu,Student,,Political Science
Sarah,Fuller,sarah.fuller857@student.edu,Student,,Political Science
Scott,Pena,scott.pena535@student.edu,Student,,Psychology
Jacqueline,Hill,jacqueline.hill315@student.edu,Student,,Communications
Kimberly,Williams,kimberly.williams962@student.edu,Student,,Engineering
Kathy,Clarke,kathy.clarke190@student.edu,Student,,Psychology
April,Beltran,april.beltran317@student.edu,Student,,Literature
Amanda,Rodriguez,amanda.rodriguez782@student.edu,Student,,Political Science
Paul,Singh,paul.singh172@student.edu,Student,,Mathematics
Michael,Hester,michael.hester287@student.edu,Student,,Economics
William,Brown,william.brown482@student.edu,Student,,Business
Matthew,Figueroa,matthew.figueroa36@student.edu,Student,,Literature
John,Stewart,john.stewart843@student.edu,Student,,Physics
Cynthia,Peters,cynthia.peters6@student.edu,Student,,History
Peter,Baker,peter.baker578@student.edu,Student,,Literature
Sandra,Palmer,sandra.palmer566@student.edu,Student,,Literature
Jeffrey,Hart,jeffrey.hart142@student.edu,Student,,Psychology
Kimberly,Mcbride,kimberly.mcbride837@student.edu,Student,,Psychology
Joseph,Cochran,joseph.cochran28@student.edu,Student,,Literature
Cynthia,Roy,cynthia.roy994@student.edu,Student,,Business
Karen,Thomas,karen.thomas212@student.edu,Student,,History
Vincent,Pittman,vincent.pittman662@student.edu,Student,,Physics
Kenneth,Mercer,kenneth.mercer76@student.edu,Student,,Biology
Warren,Thomas,warren.thomas525@student.edu,Student,,Mathematics
Raymond,Williams,raymond.williams769@student.edu,Student,,Psychology
Tiffany,Butler,tiffany.butler129@student.edu,Student,,Mathematics
Curtis,Smith,curtis.smith939@student.edu,Student,,Undeclared
Emily,Lane,emily.lane915@student.edu,Student,,Literature
Beth,Newman,beth.newman270@student.edu,Student,,History
Diana,Zamora,diana.zamora14@student.edu,Student,,Chemistry
Aaron,Daniels,aaron.daniels640@student.edu,Student,,Undeclared
Lindsey,Salas,lindsey.salas798@student.edu,Student,,Biology
Alyssa,Austin,alyssa.austin585@student.edu,Student,,Computer Science
Angela,Sharp,angela.sharp255@student.edu,Student,,Chemistry
Sheryl,Ramirez,sheryl.ramirez106@student.edu,Student,,Economics
Kimberly,Lewis,kimberly.lewis325@student.edu,Student,,Economics
Amy,Simmons,amy.simmons820@student.edu,Student,,Physics
Troy,Martin,troy.martin334@student.edu,Student,,Business
Mary,Romero,mary.romero706@student.edu,Student,,Undeclared
Danielle,Richards,danielle.richards653@student.edu,Student,,Business
Nathaniel,Craig,nathaniel.craig126@student.edu,Student,,Computer Science
Ralph,Holt,ralph.holt814@student.edu,Student,,Physics
Catherine,Hernandez,catherine.hernandez379@student.edu,Student,,Economics
Barry,Jones,barry.jones600@student.edu,Student,,Political Science
Natalie,Fisher,natalie.fisher21@student.edu,Student,,Political Science
Jessica,Moses,jessica.moses325@student.edu,Student,,Psychology
Samuel,Barnes,samuel.barnes360@student.edu,Student,,Political Science
Erik,Hurst,erik.hurst380@student.edu,Student,,Biology
Daniel,Chung,daniel.chung851@student.edu,Student,,Political Science
Dalton,Parker,dalton.parker452@student.edu,Student,,Physics
Katherine,Smith,katherine.smith788@student.edu,Student,,Undeclared
Jessica,Morris,jessica.morris729@student.edu,Student,,History
James,Anderson,james.anderson670@student.edu,Student,,Literature
David,Stafford,david.stafford877@student.edu,Student,,History
Jade,Petersen,jade.petersen790@student.edu,Student,,Literature
Heather,Buchanan,heather.buchanan959@student.edu,Student,,Undeclared
Kevin,Barrett,kevin.barrett912@student.edu,Student,,Chemistry
Charles,Avila,charles.avila465@student.edu,Student,,Engineering
Tony,Lopez,tony.lopez303@student.edu,Student,,Biology
Paige,Salazar,paige.salazar617@student.edu,Student,,Psychology
Kimberly,Johnson,kimberly.johnson72@student.edu,Student,,Psychology
Gregory,Anderson,gregory.anderson272@student.edu,Student,,Communications
Jeremy,Perry,jeremy.perry797@student.edu,Student,,Psychology
Johnny,Fisher,johnny.fisher863@student.edu,Student,,Literature
